column_name,numeric_column,character_column
a,8,f
b,63,g
a,75,f
,97,g
a,2,f
b,27,g
,83,f
,65,g
a,36,f
b,34,g
a,47,f
b,20,g
a,72,f
b,78,g
a,90,f
b,80,g
,28,f
b,61,g
a,11,f
b,95,g
a,31,f
b,6,g
a,5,f
b,31,g
a,51,f
,57,g
a,90,f
b,89,g
a,24,f
b,24,g
a,90,f
b,29,g
a,99,f
,33,g
a,23,f
b,3,g
a,67,f
b,43,g
a,81,f
b,63,g
a,39,f
,28,g
a,64,f
b,83,g
a,67,f
b,26,g
a,51,f
b,21,g
a,5,f
b,41,g
a,16,f
b,25,g
,29,f
b,44,g
a,35,f
b,72,g
a,28,f
b,8,g
a,56,f
b,73,g
a,84,f
,72,g
a,35,f
b,41,g
a,36,f
b,38,g
a,32,f
,92,g
a,56,f
b,75,g
a,19,f
b,44,g
a,23,f
b,8,g
a,28,f
b,81,g
a,10,f
b,80,g
a,71,f
b,36,g
a,29,f
b,37,g
a,32,f
b,84,g
a,28,f
b,7,g
a,7,f
b,64,g
,60,f
b,42,g
a,53,f
b,95,g
a,90,f
b,13,g
a,62,f
b,61,g
a,60,f
b,36,g
a,99,f
b,4,g
a,71,f
,57,g
a,23,f
b,59,g
a,80,f
b,85,g
a,69,f
b,69,g
a,36,f
b,40,g
a,1,f
b,14,g
a,1,f
b,93,g
a,92,f
b,29,g
a,16,f
b,35,g
a,80,f
b,34,g
a,87,f
b,81,g
a,98,f
b,86,g
a,57,f
b,82,g
a,38,f
b,65,g
a,63,f
b,69,g
a,85,f
b,38,g
a,24,f
b,19,g
a,42,f
b,82,g
a,11,f
b,89,g
a,97,f
b,34,g
a,27,f
b,16,g
a,48,f
b,8,g
a,11,f
b,2,g
a,74,f
b,72,g
a,38,f
b,85,g
a,79,f
b,77,g
,32,f
b,46,g
a,7,f
b,56,g
a,21,f
b,62,g
a,63,f
b,42,g
a,23,f
b,2,g
a,83,f
b,16,g
a,45,f
b,4,g
a,47,f
b,40,g
a,65,f
,11,g
a,21,f
b,33,g
a,76,f
b,55,g
,29,f
b,80,g
a,55,f
b,65,g
a,46,f
b,61,g
a,10,f
b,72,g
a,88,f
b,36,g
,41,f
b,62,g
a,65,f
b,74,g
a,81,f
b,45,g
a,3,f
b,28,g
a,82,f
b,99,g
a,19,f
b,21,g
a,12,f
,51,g
a,63,f
b,24,g
a,80,f
b,84,g
a,76,f
b,77,g
a,26,f
b,1,g
a,31,f
b,15,g
a,7,f
,40,g
a,32,f
b,95,g
a,7,f
b,35,g
a,74,f
b,19,g
a,11,f
b,49,g
,28,f
b,9,g
a,19,f
b,60,g
a,58,f
b,53,g
a,9,f
b,3,g
a,90,f
b,12,g
a,71,f
b,48,g
a,28,f
b,52,g
a,51,f
b,87,g
a,58,f
b,38,g
a,34,f
b,9,g
a,75,f
b,61,g
a,81,f
b,59,g
a,63,f
b,45,g
a,25,f
b,27,g
,45,f
b,71,g
a,8,f
b,52,g
a,83,f
b,67,g
,71,f
b,45,g
a,73,f
b,79,g
a,94,f
b,81,g
a,61,f
b,13,g
a,40,f
b,45,g
a,67,f
b,5,g
a,72,f
b,57,g
a,83,f
b,29,g
a,9,f
b,63,g
a,94,f
b,52,g
a,61,f
b,5,g
a,77,f
b,95,g
a,94,f
,93,g
a,63,f
b,18,g
a,3,f
b,17,g
a,1,f
,44,g
a,17,f
b,92,g
a,62,f
b,73,g
a,71,f
b,34,g
a,81,f
b,59,g
a,58,f
b,57,g
a,33,f
b,15,g
,10,f
,89,g
a,47,f
b,33,g
a,58,f
b,46,g
a,94,f
b,98,g
a,84,f
b,55,g
a,44,f
b,58,g
a,42,f
b,38,g
a,50,f
b,62,g
a,15,f
b,55,g
a,98,f
b,36,g
a,99,f
b,9,g
a,20,f
b,10,g
a,72,f
b,14,g
a,77,f
b,27,g
a,53,f
b,75,g
a,84,f
b,62,g
a,24,f
b,84,g
a,46,f
,61,g
a,17,f
b,94,g
a,74,f
b,45,g
,27,f
b,65,g
,30,f
b,34,g
a,18,f
b,73,g
a,93,f
,53,g
a,93,f
b,95,g
,17,f
b,88,g
a,24,f
b,53,g
a,79,f
b,96,g
a,88,f
b,49,g
a,91,f
b,75,g
a,9,f
b,57,g
a,58,f
b,89,g
a,81,f
b,37,g
a,46,f
b,89,g
a,86,f
b,22,g
a,53,f
b,13,g
a,86,f
b,89,g
a,16,f
b,18,g
a,15,f
b,71,g
a,27,f
b,63,g
a,67,f
b,17,g
a,70,f
b,72,g
a,5,f
b,45,g
a,35,f
b,28,g
a,93,f
b,99,g
a,24,f
b,4,g
a,88,f
b,98,g
a,48,f
b,84,g
a,42,f
b,91,g
a,57,f
,52,g
a
